Name,Nationality,Sport,Year,earnings_million,country,latitude,longitude
Mike Tyson,United States,boxing,1990,28.6,US,37.09024,-95.712891
Buster Douglas,United States,boxing,1990,26,US,37.09024,-95.712891
Sugar Ray Leonard,United States,boxing,1990,13,US,37.09024,-95.712891
Ayrton Senna,Brazil,auto racing,1990,10,BR,-14.235004,-51.92528
Alain Prost,France,auto racing,1990,9,FR,46.227638,2.213749
Jack Nicklaus,United States,golf,1990,8.6,US,37.09024,-95.712891
Greg Norman,Australia,golf,1990,8.5,AU,-25.274398,133.775136
Michael Jordan,United States,basketball,1990,8.1,US,37.09024,-95.712891
Arnold Palmer,United States,golf,1990,8.1,US,37.09024,-95.712891
Evander Holyfield,United States,boxing,1990,8.1,US,37.09024,-95.712891
Evander Holyfield,United States,boxing,1991,60.5,US,37.09024,-95.712891
Mike Tyson,United States,boxing,1991,31.5,US,37.09024,-95.712891
Michael Jordan,United States,basketball,1991,16,US,37.09024,-95.712891
George Foreman,United States,boxing,1991,14.5,US,37.09024,-95.712891
Ayrton Senna,Brazil,auto racing,1991,13,BR,-14.235004,-51.92528
Alain Prost,France,auto racing,1991,11,FR,46.227638,2.213749
"Donovan ""Razor"" Ruddock",Canada,boxing,1991,10.2,CA,56.130366,-106.346771
Arnold Palmer,United States,golf,1991,9.3,US,37.09024,-95.712891
Nigel Mansell,United Kingdom,auto racing,1991,9,GB,55.378051,-3.435973
Sugar Ray Leonard,United States,golf,1991,8.5,US,37.09024,-95.712891
Michael Jordan,United States,Basketball,1992,35.9,US,37.09024,-95.712891
Evander Holyfield,United States,Boxing,1992,28,US,37.09024,-95.712891
Ayrton Senna,Brazil,Auto Racing,1992,22,BR,-14.235004,-51.92528
Nigel Mansell,United Kingdom,Auto Racing,1992,14.5,GB,55.378051,-3.435973
Arnold Palmer,United States,Golf,1992,11.1,US,37.09024,-95.712891
Andre Agassi,United States,Tennis,1992,11,US,37.09024,-95.712891
Joe Montana,United States,NFL,1992,9.5,US,37.09024,-95.712891
Sugar Ray Leonard,United States,Golf,1992,9.2,US,37.09024,-95.712891
Jim Courier,United States,Tennis,1992,9,US,37.09024,-95.712891
Monica Seles,United States,Tennis,1992,8.5,US,37.09024,-95.712891
Michael Jordan,United States,Basketball,1993,36,US,37.09024,-95.712891
Riddick Bowe,United States,Boxing,1993,25,US,37.09024,-95.712891
Ayrton Senna,Brazil,Auto racing,1993,18.5,BR,-14.235004,-51.92528
Alain Prost,France,Auto Racing,1993,16,FR,46.227638,2.213749
George Foreman,United States,Boxing,1993,15.8,US,37.09024,-95.712891
Shaquille O'Neal,United States,NBA,1993,15.2,US,37.09024,-95.712891
Lennox Lewis,United States,Boxing,1993,15,US,37.09024,-95.712891
Cecil Fielder,United States,Baseball,1993,12.7,US,37.09024,-95.712891
Jim Courier,United States,Tennis,1993,12.6,US,37.09024,-95.712891
Joe Montana,United States,NFL,1993,11.5,US,37.09024,-95.712891
Michael Jordan,United States,Basketball,1994,30,US,37.09024,-95.712891
Shaq O'Neal,United States,Basketball,1994,16.7,US,37.09024,-95.712891
Jack Nicklaus,United States,Golf,1994,14.8,US,37.09024,-95.712891
Arnold Palmer,United States,Golf,1994,13.6,US,37.09024,-95.712891
Gerhard Berger,Austria,Auto Racing,1994,13.5,AT,47.516231,14.550072
Wayne Gretzky,Canada,Ice Hockey,1994,13.5,CA,56.130366,-106.346771
Michael Moorer,United States,Boxing,1994,12.1,US,37.09024,-95.712891
Evander Holyfield,United States,Boxing,1994,12,US,37.09024,-95.712891
Andre Agassi,United States,Tennis,1994,11.4,US,37.09024,-95.712891
Nigel Mansell,United Kingdom,Auto Racing,1994,11.3,GB,55.378051,-3.435973
Michael Jordan,United States,basketball,1995,43.9,US,37.09024,-95.712891
Mike Tyson,United States,boxing,1995,40,US,37.09024,-95.712891
Deion Sanders,United States,American Football / Baseball,1995,22.5,US,37.09024,-95.712891
Riddick Bowe,United States,boxing,1995,22.2,US,37.09024,-95.712891
Shaquille O'Neal,United States,basketball,1995,21.9,US,37.09024,-95.712891
George Foreman,United States,boxing,1995,18,US,37.09024,-95.712891
Andre Agassi,United States,tennis,1995,16,US,37.09024,-95.712891
Sugar Ray Leonard,United States,golf,1995,15.1,US,37.09024,-95.712891
Michael Schumacher,Germany,auto racing,1995,15,DE,51.165691,10.451526
Wayne Gretzky,Canada,ice hockey,1995,14.5,CA,56.130366,-106.346771
Mike Tyson,United States,Boxing,1996,75,US,37.09024,-95.712891
Michael Jordan,United States,Basketball,1996,52.6,US,37.09024,-95.712891
Michael Schumacher,Germany,F1 Motorsports,1996,33,DE,51.165691,10.451526
Shaquille O'Neal,United States,Basketball,1996,24.4,US,37.09024,-95.712891
Emmit Smith,United States,NFL,1996,16.5,US,37.09024,-95.712891
Evander Holyfield,United States,Boxing,1996,15.5,US,37.09024,-95.712891
Andre Agassi,United States,Tennis,1996,15.2,US,37.09024,-95.712891
Arnold Palmer,United States,Golf,1996,15.1,US,37.09024,-95.712891
Dennis Rodman,United States,Basketball,1996,12.9,US,37.09024,-95.712891
Patrick Ewing,United States,Basketball,1996,12.9,US,37.09024,-95.712891
Michael Jordan,United States,Basketball,1997,78.3,US,37.09024,-95.712891
Evander Holyfield,United States,Boxing,1997,54.3,US,37.09024,-95.712891
Oscar De La Hoya,United States,Boxing,1997,38,US,37.09024,-95.712891
Michael Schumacher,Germany,F1 Motorsports,1997,35,DE,51.165691,10.451526
Mike Tyson,United States,Boxing,1997,27,US,37.09024,-95.712891
Tiger Woods,United States,Golf,1997,26.1,US,37.09024,-95.712891
Shaquille O'Neal,United States,Basketball,1997,25.4,US,37.09024,-95.712891
Dale Earnhardt,United States,NASCAR,1997,19.1,US,37.09024,-95.712891
Joe Sakic,Canada,Hockey,1997,17.9,CA,56.130366,-106.346771
Grant Hill,United States,Basketball,1997,17,US,37.09024,-95.712891
Michael Jordan,United States,Basketball,1998,69,US,37.09024,-95.712891
Michael Schumacher,Germany,F1 Motorsports,1998,38,DE,51.165691,10.451526
Sergei Federov,Russia,Ice Hockey,1998,29.8,RU,61.52401,105.318756
Tiger Woods,United States,Golf,1998,26.8,US,37.09024,-95.712891
Dale Earnhardt,United States,NASCAR,1998,24.1,US,37.09024,-95.712891
Grant Hill,United States,Basketball,1998,21.6,US,37.09024,-95.712891
Oscar De La Hoya,United States,Boxing,1998,18.5,US,37.09024,-95.712891
Patrick Ewing,United States,Basketball,1998,18.3,US,37.09024,-95.712891
Arnold Palmer,United States,Golf,1998,18.1,US,37.09024,-95.712891
Gary Sheffield,United States,Baseball,1998,17.2,US,37.09024,-95.712891
Michael Schumacher,Germany,Auto Racing,1999,49,DE,51.165691,10.451526
Tiger Woods,United States,Golf,1999,47,US,37.09024,-95.712891
Oscar De La Hoya,United States,Boxing,1999,43.5,US,37.09024,-95.712891
Michael Jordan,United States,Basketball,1999,40,US,37.09024,-95.712891
Evander Holyfield,United States,Boxing,1999,35.5,US,37.09024,-95.712891
Mike Tyson,United States,Boxing,1999,33,US,37.09024,-95.712891
Shaq O'Neal,United States,Basketball,1999,31,US,37.09024,-95.712891
Lennox Lewis,United States,Boxing,1999,29,US,37.09024,-95.712891
Dale Earnhardt,United States,Auto Racing,1999,26.5,US,37.09024,-95.712891
Grant Hill,United States,Basketball,1999,23,US,37.09024,-95.712891
Michael Schumacher,Germany,Auto Racing,2000,59,DE,51.165691,10.451526
Tiger Woods,United States,Golf,2000,53,US,37.09024,-95.712891
Mike Tyson,United States,Boxing,2000,48,US,37.09024,-95.712891
Michael Jordan,United States,Basketball,2000,37,US,37.09024,-95.712891
Grant Hill,United States,Basketball,2000,26,US,37.09024,-95.712891
Dale Earnhardt,United States,Auto Racing (Nascar),2000,24.5,US,37.09024,-95.712891
Shaq O'Neal,United States,Basketball,2000,24,US,37.09024,-95.712891
Lennox Lewis,United States,Boxing,2000,23,US,37.09024,-95.712891
Oscar De La Hoya,United States,Boxing,2000,23,US,37.09024,-95.712891
Kevin Garnett,United States,Basketball,2000,21,US,37.09024,-95.712891
Tiger Woods,United States,Golf,2002,69,US,37.09024,-95.712891
Michael Schumacher,Germany,F1 Motorsports,2002,67,DE,51.165691,10.451526
Michael Jordan,United States,Basketball,2002,36,US,37.09024,-95.712891
Lennox Lewis,United States,Boxing,2002,28,US,37.09024,-95.712891
Grant Hill,United States,Basketball,2002,24,US,37.09024,-95.712891
Shaquille O'Neal,United States,Basketball,2002,24,US,37.09024,-95.712891
Mike Tyson,United States,Boxing,2002,23,US,37.09024,-95.712891
Kevin Garnett,United States,Basketball,2002,23,US,37.09024,-95.712891
Kobe Bryant,United States,Basketball,2002,22,US,37.09024,-95.712891
Jacques Villeneuve,Canada,Auto Racing,2002,20,CA,56.130366,-106.346771
Jeff Gordon,United States,Auto Racing (Nascar),2002,20,US,37.09024,-95.712891
Tiger Woods,United States,Golf,2003,78,US,37.09024,-95.712891
Michael Schumacher,Germany,F1 Motorsports,2003,75,DE,51.165691,10.451526
Michael Jordan,United States,Basketball,2003,35,US,37.09024,-95.712891
Shaq O'Neal,United States,Basketball,2003,30.5,US,37.09024,-95.712891
Oscar De La Hoya,United States,Boxing,2003,30,US,37.09024,-95.712891
Kevin Garnett,United States,Basketball,2003,28,US,37.09024,-95.712891
Alex Rodriguez,United States,Baseball,2003,26,US,37.09024,-95.712891
Grant Hill,United States,Basketball,2003,25.5,US,37.09024,-95.712891
Andre Agassi,United States,Tennis,2003,24,US,37.09024,-95.712891
Jacques Villeneuve,Canada,Auto Racing,2003,23,CA,56.130366,-106.346771
Tiger Woods,United States,golf,2004,80.3,US,37.09024,-95.712891
Michael Schumacher,Germany,F1 racing,2004,80,DE,51.165691,10.451526
Peyton Manning,United States,American Football,2004,42,US,37.09024,-95.712891
Michael Jordan,United States,basketball,2004,35,US,37.09024,-95.712891
Shaquille O'Neal,United States,basketball,2004,31.9,US,37.09024,-95.712891
Kevin Garnett,United States,basketball,2004,29.7,US,37.09024,-95.712891
Andre Agassi,United States,tennis,2004,28.2,US,37.09024,-95.712891
David Beckham,United Kingdom,soccer,2004,28,GB,55.378051,-3.435973
Alex Rodriguez,United States,baseball,2004,26.2,US,37.09024,-95.712891
Kobe Bryant,United States,basketball,2004,26.1,US,37.09024,-95.712891
Tiger Woods,United States,golf,2005,87,US,37.09024,-95.712891
Michael Schumacher,Germany,F1 racing,2005,60,DE,51.165691,10.451526
Oscar De La Hoya,United States,boxing,2005,38,US,37.09024,-95.712891
Michael Vick,United States,American Football,2005,37.5,US,37.09024,-95.712891
Shaquille O'Neal,United States,basketball,2005,33.4,US,37.09024,-95.712891
Michael Jordan,United States,basketball,2005,33,US,37.09024,-95.712891
David Beckham,United Kingdom,soccer,2005,32.5,GB,55.378051,-3.435973
Kobe Bryant,United States,basketball,2005,28.8,US,37.09024,-95.712891
Lance Armstrong,United States,cycling,2005,28,US,37.09024,-95.712891
Valentino Rossi,Italy,motorcycle gp,2005,28,IT,41.87194,12.56738
Tiger Woods,United States,golf,2006,90,US,37.09024,-95.712891
Michael Schumacher,Germany,F1 racing,2006,58,DE,51.165691,10.451526
Muhammad Ali,United States,boxing,2006,55,US,37.09024,-95.712891
Phil Mickelson,United States,golf,2006,47,US,37.09024,-95.712891
Michael Jordan,United States,basketball,2006,32,US,37.09024,-95.712891
Kobe Bryant,United States,basketball,2006,31,US,37.09024,-95.712891
Shaquille O'Neal,United States,basketball,2006,30,US,37.09024,-95.712891
Valentino Rossi,Italy,motorcycle gp,2006,30,IT,41.87194,12.56738
Alex Rodriguez,United States,baseball,2006,29,US,37.09024,-95.712891
Tom Brady,United States,American Football,2006,29,US,37.09024,-95.712891
Tiger Woods,United States,golf,2007,100,US,37.09024,-95.712891
Oscar De La Hoya,United States,boxing,2007,43,US,37.09024,-95.712891
Phil Mickelson,United States,golf,2007,42,US,37.09024,-95.712891
Kimi Raikkonen,Finland,F1 racing,2007,40,FI,61.92411,25.748151
Michael Schumacher,Germany,F1 racing,2007,36,DE,51.165691,10.451526
David Beckham,United Kingdom,soccer,2007,33,GB,55.378051,-3.435973
Kobe Bryant,United States,basketball,2007,33,US,37.09024,-95.712891
Shaquille O'Neal,United States,basketball,2007,32,US,37.09024,-95.712891
Ronaldinho,Brazil,soccer,2007,31,BR,-14.235004,-51.92528
Michael Jordan,United States,basketball,2007,31,US,37.09024,-95.712891
Tiger Woods,United States,golf,2008,115,US,37.09024,-95.712891
David Beckham,United Kingdom,soccer,2008,50,GB,55.378051,-3.435973
Michael Jordan,United States,basketball,2008,45,US,37.09024,-95.712891
Phil Mickelson,United States,golf,2008,45,US,37.09024,-95.712891
Kimi Raikkonen,Finland,F1 racing,2008,44,FI,61.92411,25.748151
Kobe Bryant,United States,basketball,2008,39,US,37.09024,-95.712891
LeBron James,United States,basketball,2008,38,US,37.09024,-95.712891
Ronaldinho,Brazil,soccer,2008,37,BR,-14.235004,-51.92528
Valentino Rossi,Italy,motorcycle gp,2008,35,IT,41.87194,12.56738
Roger Federer,Switzerland,tennis,2008,35,CH,46.818188,8.227512
Tiger Woods,United States,golf,2009,110,US,37.09024,-95.712891
Kobe Bryant,United States,basketball,2009,45,US,37.09024,-95.712891
Michael Jordan,United States,basketball,2009,45,US,37.09024,-95.712891
Kimi Raikkonen,Finland,F1 racing,2009,45,FI,61.92411,25.748151
David Beckham,United Kingdom,soccer,2009,42,GB,55.378051,-3.435973
LeBron James,United States,basketball,2009,40,US,37.09024,-95.712891
Phil Mickelson,United States,golf,2009,40,US,37.09024,-95.712891
Manny Pacquiao,Philippines,boxing,2009,40,PH,12.879721,121.774017
Valentino Rossi,Italy,motorcycle gp,2009,35,IT,41.87194,12.56738
Dale Earnhardt Jr.,United States,NASCAR,2009,34,US,37.09024,-95.712891
Tiger Woods,United States,golf,2010,105,US,37.09024,-95.712891
Floyd Mayweather,United States,boxing,2010,65,US,37.09024,-95.712891
Kobe Bryant,United States,basketball,2010,48,US,37.09024,-95.712891
Phil Mickelson,United States,golf,2010,46,US,37.09024,-95.712891
David Beckham,United Kingdom,soccer,2010,43.7,GB,55.378051,-3.435973
Roger Federer,Switzerland,tennis,2010,43,CH,46.818188,8.227512
LeBron James,United States,basketball,2010,42.8,US,37.09024,-95.712891
Manny Pacquiao,Philippines,boxing,2010,42,PH,12.879721,121.774017
Eli Manning,United States,American Football,2010,39.9,US,37.09024,-95.712891
Terrell Suggs,United States,American Football,2010,38.3,US,37.09024,-95.712891
Tiger Woods,United States,golf,2011,75,US,37.09024,-95.712891
Kobe Bryant,United States,basketball,2011,53,US,37.09024,-95.712891
LeBron James,United States,basketball,2011,48,US,37.09024,-95.712891
Roger Federer,Switzerland,tennis,2011,47,CH,46.818188,8.227512
Phil Mickelson,United States,golf,2011,46.5,US,37.09024,-95.712891
David Beckham,United Kingdom,soccer,2011,40,GB,55.378051,-3.435973
Cristiano Ronaldo,Portugal,soccer,2011,38,PT,39.399872,-8.224454
Alex Rodriguez,Dominican Republic,baseball,2011,35,DO,18.735693,-70.162651
Michael Schumacher,Germany,F1 racing,2011,34,DE,51.165691,10.451526
Lionel Messi,Argentina,soccer,2011,32.3,AR,-38.416097,-63.616672
Floyd Mayweather,United States,Boxing,2012,85,US,37.09024,-95.712891
Manny Pacquiao,Philippines,Boxing,2012,62,PH,12.879721,121.774017
Tiger Woods,United States,Golf,2012,59.4,US,37.09024,-95.712891
LeBron James,United States,Basketball,2012,53,US,37.09024,-95.712891
Roger Federer,Switzerland,Tennis,2012,52.7,CH,46.818188,8.227512
Kobe Bryant,United States,Basketball,2012,52.3,US,37.09024,-95.712891
Phil Mickelson,United States,Golf,2012,47.8,US,37.09024,-95.712891
David Beckham,United Kingdom,Soccer,2012,46,GB,55.378051,-3.435973
Cristiano Ronaldo,Portugal,Soccer,2012,42.5,PT,39.399872,-8.224454
Peyton Manning,United States,American Football,2012,42.4,US,37.09024,-95.712891
Tiger Woods,United States,Golf,2013,78.1,US,37.09024,-95.712891
Roger Federer,Switzerland,Tennis,2013,71.5,CH,46.818188,8.227512
Kobe Bryant,United States,Basketball,2013,61.9,US,37.09024,-95.712891
LeBron James,United States,Basketball,2013,59.8,US,37.09024,-95.712891
Drew Brees,United States,American Football,2013,51,US,37.09024,-95.712891
Aaron Rodgers,United States,American Football,2013,49,US,37.09024,-95.712891
Phil Mickelson,United States,Golf,2013,48.7,US,37.09024,-95.712891
David Beckham,United Kingdom,Soccer,2013,47.2,GB,55.378051,-3.435973
Cristiano Ronaldo,Portugal,Soccer,2013,44,PT,39.399872,-8.224454
Lionel Messi,Argentina,Soccer,2013,41.3,AR,-38.416097,-63.616672
Floyd Mayweather,United States,Boxing,2014,105,US,37.09024,-95.712891
Cristiano Ronaldo,Portugal,Soccer,2014,80,PT,39.399872,-8.224454
LeBron James,United States,Basketball,2014,72.3,US,37.09024,-95.712891
Lionel Messi,Argentina,Soccer,2014,64.7,AR,-38.416097,-63.616672
Kobe Bryant,United States,Basketball,2014,61.5,US,37.09024,-95.712891
Tiger Woods,United States,Golf,2014,61.2,US,37.09024,-95.712891
Roger Federer,Switzerland,Tennis,2014,56.2,CH,46.818188,8.227512
Phil Mickelson,United States,Golf,2014,53.2,US,37.09024,-95.712891
